identity,expression,filename,dist_ensx_se,dist_ensx_prn,dist_se_prn,dist_se_ls,dist_prn_ls,dist_alL_alR,dist_cheilion_sx_cheilion_dx,dist_ensx_exsx,dist_ensdx_exdx,dist_exsx_exdx,dist_ensx_ensdx,area_ensx_exsx_exdx,area_prn_alL_alR,area_cheilion_sx_cheilion_dx_ls,area_ensx_ensdx_prn,area_se_prn_alL,area_se_prn_alR,volume_ensx_prn_alL_alR,volume_ensx_exsx_exdx_prn,volume_ensx_ensdx_se_prn,volume_exsx_exdx_alL_alR,facial_area
bs082,N,bs082_N_N_0 (1).lm3,0.3805,1.6101,1.3964,1.9281,0.9917,1.138,1.6827,1.0001,1.0155,2.952,1.0,0.4707,0.5528,0.67,1.0,0.6546,0.912,2.451,1.7616,1.0,1.408,4.2601
bs082,N,bs082_N_N_0.lm3,0.3805,1.6101,1.3964,1.9281,0.9917,1.138,1.6827,1.0001,1.0155,2.952,1.0,0.4707,0.5528,0.67,1.0,0.6546,0.912,2.451,1.7616,1.0,1.408,4.2601
bs082,N,bs082_N_N_1 (1).lm3,0.4637,1.6215,1.3216,1.8944,0.9613,1.0724,1.6488,1.0119,1.1033,3.0287,1.0,0.5271,0.5412,0.7259,1.0,0.7202,0.8253,2.4409,2.1321,1.0,0.2355,4.3397
bs082,N,bs082_N_N_1.lm3,0.4637,1.6215,1.3216,1.8944,0.9613,1.0724,1.6488,1.0119,1.1033,3.0287,1.0,0.5271,0.5412,0.7259,1.0,0.7202,0.8253,2.4409,2.1321,1.0,0.2355,4.3397
bs082,N,bs082_N_N_2 (1).lm3,0.3933,1.6674,1.4604,2.0322,0.9668,1.1991,1.743,1.0299,1.1166,3.0801,1.0,0.4649,0.5901,0.7381,1.0,0.6939,1.0091,2.6473,1.9652,1.0,1.7234,4.4961
bs082,N,bs082_N_N_2.lm3,0.3933,1.6674,1.4604,2.0322,0.9668,1.1991,1.743,1.0299,1.1166,3.0801,1.0,0.4649,0.5901,0.7381,1.0,0.6939,1.0091,2.6473,1.9652,1.0,1.7234,4.4961
bs082,N,bs082_N_N_3 (1).lm3,0.4058,1.6056,1.3712,1.9833,1.0245,1.1023,1.6193,1.0964,1.0801,3.0945,1.0,0.6196,0.5295,0.6828,1.0,0.6725,0.8765,2.3566,2.0684,1.0,1.4606,4.3809
bs082,N,bs082_N_N_3.lm3,0.4058,1.6056,1.3712,1.9833,1.0245,1.1023,1.6193,1.0964,1.0801,3.0945,1.0,0.6196,0.5295,0.6828,1.0,0.6725,0.8765,2.3566,2.0684,1.0,1.4606,4.3809
bs083,N,bs083_N_N_0 (1).lm3,0.4056,1.5921,1.4823,1.8981,0.9418,0.9717,1.4213,0.8874,0.9645,2.7942,1.0,0.4288,0.4858,0.4718,1.0,0.7258,0.8737,1.9065,0.6578,1.0,0.7029,3.9859
bs083,N,bs083_N_N_0.lm3,0.4056,1.5921,1.4823,1.8981,0.9418,0.9717,1.4213,0.8874,0.9645,2.7942,1.0,0.4288,0.4858,0.4718,1.0,0.7258,0.8737,1.9065,0.6578,1.0,0.7029,3.9859
bs083,N,bs083_N_N_1 (1).lm3,0.3922,1.5793,1.4818,1.9197,0.9825,0.9892,1.4929,0.9144,0.9767,2.8412,1.0,0.3866,0.4859,0.4738,1.0,0.7522,0.8226,1.9389,0.3221,1.0,0.273,3.9211
bs083,N,bs083_N_N_1.lm3,0.3922,1.5793,1.4818,1.9197,0.9825,0.9892,1.4929,0.9144,0.9767,2.8412,1.0,0.3866,0.4859,0.4738,1.0,0.7522,0.8226,1.9389,0.3221,1.0,0.273,3.9211
bs083,N,bs083_N_N_2 (1).lm3,0.3335,1.5766,1.4864,1.9032,0.9994,1.0161,1.4931,0.9577,1.0792,2.9329,1.0,0.6051,0.511,0.4565,1.0,0.782,0.8227,3.0733,1.6523,1.0,1.1386,4.1773
bs083,N,bs083_N_N_2.lm3,0.3335,1.5766,1.4864,1.9032,0.9994,1.0161,1.4931,0.9577,1.0792,2.9329,1.0,0.6051,0.511,0.4565,1.0,0.782,0.8227,3.0733,1.6523,1.0,1.1386,4.1773
bs083,N,bs083_N_N_3 (1).lm3,0.4315,1.628,1.4499,1.9036,1.0087,0.9913,1.4481,0.9575,1.0036,2.8749,1.0,0.467,0.4942,0.4021,1.0,0.7408,0.8174,2.1413,0.3895,1.0,0.1384,3.9215
bs083,N,bs083_N_N_3.lm3,0.4315,1.628,1.4499,1.9036,1.0087,0.9913,1.4481,0.9575,1.0036,2.8749,1.0,0.467,0.4942,0.4021,1.0,0.7408,0.8174,2.1413,0.3895,1.0,0.1384,3.9215
bs084,N,bs084_N_N_0 (1).lm3,0.3425,1.3852,1.2043,1.8007,0.9647,1.0345,1.4889,0.8762,0.8727,2.6874,1.0,0.4695,0.4787,0.6716,1.0,0.7343,0.6979,2.909,1.0127,1.0,0.6681,4.052
bs084,N,bs084_N_N_0.lm3,0.3425,1.3852,1.2043,1.8007,0.9647,1.0345,1.4889,0.8762,0.8727,2.6874,1.0,0.4695,0.4787,0.6716,1.0,0.7343,0.6979,2.909,1.0127,1.0,0.6681,4.052
bs084,N,bs084_N_N_1 (1).lm3,0.3018,1.3799,1.2417,1.8139,0.92,1.0863,1.3681,0.9198,0.8951,2.765,1.0,0.4946,0.5984,0.5397,1.0,0.7073,0.9505,4.0318,1.3381,1.0,4.7492,4.2905
bs084,N,bs084_N_N_1.lm3,0.3018,1.3799,1.2417,1.8139,0.92,1.0863,1.3681,0.9198,0.8951,2.765,1.0,0.4946,0.5984,0.5397,1.0,0.7073,0.9505,4.0318,1.3381,1.0,4.7492,4.2905
bs084,N,bs084_N_N_2 (1).lm3,0.3761,1.3344,1.1355,1.7563,0.9858,1.0836,1.3406,0.8435,0.834,2.6384,1.0,0.4009,0.6005,0.5198,1.0,0.6488,0.8951,3.1217,0.6399,1.0,3.926,4.0651
bs084,N,bs084_N_N_2.lm3,0.3761,1.3344,1.1355,1.7563,0.9858,1.0836,1.3406,0.8435,0.834,2.6384,1.0,0.4009,0.6005,0.5198,1.0,0.6488,0.8951,3.1217,0.6399,1.0,3.926,4.0651
bs084,N,bs084_N_N_3 (1).lm3,0.3419,1.4558,1.3457,1.8501,0.7916,1.0384,1.3739,0.9159,0.9153,2.7604,1.0,0.5015,0.5036,0.5845,1.0,0.6716,0.937,2.739,1.5661,1.0,4.2688,4.1982
bs084,N,bs084_N_N_3.lm3,0.3419,1.4558,1.3457,1.8501,0.7916,1.0384,1.3739,0.9159,0.9153,2.7604,1.0,0.5015,0.5036,0.5845,1.0,0.6716,0.937,2.739,1.5661,1.0,4.2688,4.1982
bs085,N,bs085_N_N_0 (1).lm3,0.6169,1.5497,1.1279,1.6254,0.8997,1.0405,1.4088,0.7178,0.797,2.4743,1.0,0.2244,0.5278,0.5039,1.0,0.6265,0.7037,1.6424,0.1557,1.0,0.5455,3.5863
bs085,N,bs085_N_N_0.lm3,0.6169,1.5497,1.1279,1.6254,0.8997,1.0405,1.4088,0.7178,0.797,2.4743,1.0,0.2244,0.5278,0.5039,1.0,0.6265,0.7037,1.6424,0.1557,1.0,0.5455,3.5863
bs085,N,bs085_N_N_1 (1).lm3,0.5707,1.5324,1.1827,1.6725,0.8836,1.0715,1.3879,0.7448,0.7528,2.4649,1.0,0.3104,0.5733,0.5576,1.0,0.6235,0.7932,1.6827,0.4541,1.0,1.1244,3.858
bs085,N,bs085_N_N_1.lm3,0.5707,1.5324,1.1827,1.6725,0.8836,1.0715,1.3879,0.7448,0.7528,2.4649,1.0,0.3104,0.5733,0.5576,1.0,0.6235,0.7932,1.6827,0.4541,1.0,1.1244,3.858
bs085,N,bs085_N_N_2 (1).lm3,0.5811,1.5166,1.1515,1.604,0.8427,1.0845,1.4012,0.7129,0.7399,2.4341,1.0,0.2012,0.5577,0.5316,1.0,0.603,0.79,1.6799,0.1199,1.0,1.4423,3.6835
bs085,N,bs085_N_N_2.lm3,0.5811,1.5166,1.1515,1.604,0.8427,1.0845,1.4012,0.7129,0.7399,2.4341,1.0,0.2012,0.5577,0.5316,1.0,0.603,0.79,1.6799,0.1199,1.0,1.4423,3.6835
bs085,N,bs085_N_N_3 (1).lm3,0.6272,1.476,1.0741,1.545,0.7986,0.9727,1.3944,0.6965,0.7438,2.414,1.0,0.2444,0.428,0.4978,1.0,0.5702,0.603,1.3148,0.1732,1.0,0.2718,3.3434
bs085,N,bs085_N_N_3.lm3,0.6272,1.476,1.0741,1.545,0.7986,0.9727,1.3944,0.6965,0.7438,2.414,1.0,0.2444,0.428,0.4978,1.0,0.5702,0.603,1.3148,0.1732,1.0,0.2718,3.3434
bs086,N,bs086_N_N_0 (1).lm3,0.4114,1.2824,1.0885,1.8003,0.9913,1.1162,1.5049,0.8168,0.8774,2.6751,1.0,0.2984,0.6148,0.6731,1.0,0.747,0.7739,2.4974,0.5522,1.0,0.234,4.1072
bs086,N,bs086_N_N_0.lm3,0.4114,1.2824,1.0885,1.8003,0.9913,1.1162,1.5049,0.8168,0.8774,2.6751,1.0,0.2984,0.6148,0.6731,1.0,0.747,0.7739,2.4974,0.5522,1.0,0.234,4.1072
bs086,N,bs086_N_N_1 (1).lm3,0.4333,1.3556,1.1438,1.8739,1.0006,1.1086,1.4892,0.8642,0.8941,2.7126,1.0,0.2375,0.6007,0.7402,1.0,0.7534,0.8792,2.5042,0.1177,1.0,2.2649,4.211
bs086,N,bs086_N_N_1.lm3,0.4333,1.3556,1.1438,1.8739,1.0006,1.1086,1.4892,0.8642,0.8941,2.7126,1.0,0.2375,0.6007,0.7402,1.0,0.7534,0.8792,2.5042,0.1177,1.0,2.2649,4.211
bs086,N,bs086_N_N_2 (1).lm3,0.3404,1.2895,1.2133,1.9042,1.009,1.2104,1.6553,0.9372,0.9047,2.8044,1.0,0.4673,0.71,0.8078,1.0,0.8464,0.9656,2.888,0.7307,1.0,1.8178,4.7971
bs086,N,bs086_N_N_2.lm3,0.3404,1.2895,1.2133,1.9042,1.009,1.2104,1.6553,0.9372,0.9047,2.8044,1.0,0.4673,0.71,0.8078,1.0,0.8464,0.9656,2.888,0.7307,1.0,1.8178,4.7971
bs086,N,bs086_N_N_3 (1).lm3,0.3946,1.2554,1.0716,1.7736,0.9642,1.0705,1.4286,0.8312,0.8651,2.6576,1.0,0.3643,0.5783,0.6704,1.0,0.7355,0.7864,2.8324,0.6609,1.0,1.0145,4.1349
bs086,N,bs086_N_N_3.lm3,0.3946,1.2554,1.0716,1.7736,0.9642,1.0705,1.4286,0.8312,0.8651,2.6576,1.0,0.3643,0.5783,0.6704,1.0,0.7355,0.7864,2.8324,0.6609,1.0,1.0145,4.1349
bs087,N,bs087_N_N_0 (1).lm3,0.4602,1.9438,1.6777,2.3632,1.0309,1.4459,2.0372,1.0237,1.0346,3.0356,1.0,0.2617,0.6559,0.8516,1.0,0.8128,1.0053,3.38,0.7046,1.0,1.6522,4.5873
bs087,N,bs087_N_N_0.lm3,0.4602,1.9438,1.6777,2.3632,1.0309,1.4459,2.0372,1.0237,1.0346,3.0356,1.0,0.2617,0.6559,0.8516,1.0,0.8128,1.0053,3.38,0.7046,1.0,1.6522,4.5873
bs087,N,bs087_N_N_1 (1).lm3,0.408,2.0252,1.8819,2.6472,1.1668,1.5227,2.116,1.159,1.16,3.2814,1.0,0.3358,0.6264,0.8166,1.0,0.9363,1.0529,3.2866,0.3544,1.0,0.2339,4.768
bs087,N,bs087_N_N_1.lm3,0.408,2.0252,1.8819,2.6472,1.1668,1.5227,2.116,1.159,1.16,3.2814,1.0,0.3358,0.6264,0.8166,1.0,0.9363,1.0529,3.2866,0.3544,1.0,0.2339,4.768
bs087,N,bs087_N_N_2 (1).lm3,0.5053,2.0295,1.7982,2.535,1.0801,1.4906,2.0897,1.0982,1.059,3.1357,1.0,0.256,0.6351,0.8338,1.0,0.9542,0.8836,2.4566,0.1037,1.0,1.5124,4.5627
bs087,N,bs087_N_N_2.lm3,0.5053,2.0295,1.7982,2.535,1.0801,1.4906,2.0897,1.0982,1.059,3.1357,1.0,0.256,0.6351,0.8338,1.0,0.9542,0.8836,2.4566,0.1037,1.0,1.5124,4.5627
bs087,N,bs087_N_N_3 (1).lm3,0.4926,2.0276,1.7931,2.5533,1.1489,1.5797,2.1253,1.1258,1.1554,3.2579,1.0,0.2798,0.7805,0.8303,1.0,0.8991,1.1884,3.4555,0.1297,1.0,2.8382,4.9781
bs087,N,bs087_N_N_3.lm3,0.4926,2.0276,1.7931,2.5533,1.1489,1.5797,2.1253,1.1258,1.1554,3.2579,1.0,0.2798,0.7805,0.8303,1.0,0.8991,1.1884,3.4555,0.1297,1.0,2.8382,4.9781
bs088,N,bs088_N_N_0 (1).lm3,0.3328,1.5638,1.5105,2.1814,1.0418,1.0897,1.6273,0.8697,0.8948,2.7313,1.0,0.3364,0.5308,0.6027,1.0,0.7636,1.0324,3.6644,1.3247,1.0,3.5047,4.2659
bs088,N,bs088_N_N_0.lm3,0.3328,1.5638,1.5105,2.1814,1.0418,1.0897,1.6273,0.8697,0.8948,2.7313,1.0,0.3364,0.5308,0.6027,1.0,0.7636,1.0324,3.6644,1.3247,1.0,3.5047,4.2659
bs088,N,bs088_N_N_1 (1).lm3,0.3808,1.668,1.5803,2.2587,1.0391,1.0303,1.6471,0.9092,0.9025,2.7933,1.0,0.2557,0.4914,0.4985,1.0,0.816,0.9436,2.497,0.4084,1.0,1.8079,4.0052
bs088,N,bs088_N_N_1.lm3,0.3808,1.668,1.5803,2.2587,1.0391,1.0303,1.6471,0.9092,0.9025,2.7933,1.0,0.2557,0.4914,0.4985,1.0,0.816,0.9436,2.497,0.4084,1.0,1.8079,4.0052
bs088,N,bs088_N_N_2 (1).lm3,0.3779,1.6784,1.572,2.3128,1.0869,1.0649,1.6923,0.9354,0.9266,2.8511,1.0,0.1792,0.4648,0.6132,1.0,0.7445,0.9466,2.352,0.3167,1.0,3.0936,3.9483
bs088,N,bs088_N_N_2.lm3,0.3779,1.6784,1.572,2.3128,1.0869,1.0649,1.6923,0.9354,0.9266,2.8511,1.0,0.1792,0.4648,0.6132,1.0,0.7445,0.9466,2.352,0.3167,1.0,3.0936,3.9483
bs088,N,bs088_N_N_3 (1).lm3,0.3843,1.6118,1.5031,2.2158,1.042,1.028,1.5529,0.8604,0.8592,2.7093,1.0,0.1938,0.467,0.4921,1.0,0.7205,0.9477,2.3452,0.2821,1.0,3.1411,3.8211
bs088,N,bs088_N_N_3.lm3,0.3843,1.6118,1.5031,2.2158,1.042,1.028,1.5529,0.8604,0.8592,2.7093,1.0,0.1938,0.467,0.4921,1.0,0.7205,0.9477,2.3452,0.2821,1.0,3.1411,3.8211
bs089,N,bs089_N_N_0 (1).lm3,0.4254,1.5682,1.3781,1.8998,0.9353,0.9164,1.3208,0.8388,0.8517,2.6454,1.0,0.3413,0.3482,0.4524,1.0,0.6141,0.659,1.3833,1.1342,1.0,0.1762,3.415
bs089,N,bs089_N_N_0.lm3,0.4254,1.5682,1.3781,1.8998,0.9353,0.9164,1.3208,0.8388,0.8517,2.6454,1.0,0.3413,0.3482,0.4524,1.0,0.6141,0.659,1.3833,1.1342,1.0,0.1762,3.415
bs089,N,bs089_N_N_1 (1).lm3,0.4472,1.5842,1.3916,1.9589,0.9418,0.969,1.3156,0.8576,0.8747,2.6902,1.0,0.3374,0.4307,0.4284,1.0,0.6067,0.8496,1.5965,1.168,1.0,1.8762,3.6528
bs089,N,bs089_N_N_1.lm3,0.4472,1.5842,1.3916,1.9589,0.9418,0.969,1.3156,0.8576,0.8747,2.6902,1.0,0.3374,0.4307,0.4284,1.0,0.6067,0.8496,1.5965,1.168,1.0,1.8762,3.6528
bs089,N,bs089_N_N_2 (1).lm3,0.5378,1.5157,1.3314,1.904,0.9211,0.9827,1.3138,0.7811,0.7988,2.5582,1.0,0.2562,0.4477,0.4513,1.0,0.5917,0.9029,1.23,0.5712,1.0,1.8997,3.6498
bs089,N,bs089_N_N_2.lm3,0.5378,1.5157,1.3314,1.904,0.9211,0.9827,1.3138,0.7811,0.7988,2.5582,1.0,0.2562,0.4477,0.4513,1.0,0.5917,0.9029,1.23,0.5712,1.0,1.8997,3.6498
bs089,N,bs089_N_N_3 (1).lm3,0.4565,1.5658,1.418,1.9708,0.9339,0.9591,1.3159,0.7908,0.8223,2.5934,1.0,0.2227,0.4133,0.4142,1.0,0.5769,0.9223,1.3105,0.7159,1.0,2.1319,3.5494
bs089,N,bs089_N_N_3.lm3,0.4565,1.5658,1.418,1.9708,0.9339,0.9591,1.3159,0.7908,0.8223,2.5934,1.0,0.2227,0.4133,0.4142,1.0,0.5769,0.9223,1.3105,0.7159,1.0,2.1319,3.5494
bs090,N,bs090_N_N_0.lm3,0.4764,1.3771,1.1757,1.7304,0.8873,0.8861,1.3797,0.7346,0.7557,2.4626,1.0,0.2823,0.4365,0.4784,1.0,0.5616,0.8068,1.2396,0.0621,1.0,1.7685,3.5656
bs090,N,bs090_N_N_1.lm3,0.5411,1.3657,1.1822,1.7517,0.8206,0.8942,1.3337,0.6953,0.7264,2.4018,1.0,0.228,0.4574,0.447,1.0,0.6121,0.8238,1.0981,0.1585,1.0,1.2354,3.5683
bs090,N,bs090_N_N_2.lm3,0.4909,1.3691,1.1509,1.7129,0.8669,0.8478,1.3004,0.7348,0.7316,2.4532,1.0,0.2086,0.3981,0.4515,1.0,0.5964,0.6594,1.1371,0.1954,1.0,0.2664,3.314
bs090,N,bs090_N_N_3.lm3,0.5133,1.3781,1.1445,1.6695,0.8113,0.8862,1.2889,0.7421,0.7717,2.4823,1.0,0.2979,0.4207,0.4581,1.0,0.5321,0.7454,1.0769,0.4311,1.0,1.3744,3.4542
bs091,N,bs091_N_N_0.lm3,0.5355,1.6484,1.3284,1.8875,1.0228,1.1101,1.4748,0.7792,0.8204,2.5605,1.0,0.1994,0.5267,0.5446,1.0,0.6386,0.8627,2.0854,0.0243,1.0,1.5749,3.772
bs091,N,bs091_N_N_1.lm3,0.4432,1.5774,1.3418,1.8907,0.9927,1.0313,1.4029,0.7742,0.7711,2.5092,1.0,0.3189,0.4479,0.5134,1.0,0.6505,0.7272,1.7964,0.7048,1.0,0.1821,3.6579
bs091,N,bs091_N_N_2.lm3,0.482,1.5774,1.3607,1.9401,1.023,1.0512,1.3876,0.7852,0.7861,2.5304,1.0,0.3459,0.4437,0.5118,1.0,0.6865,0.7121,1.526,0.4821,1.0,0.0779,3.7
bs091,N,bs091_N_N_3.lm3,0.5693,1.5643,1.2993,1.8554,0.9562,1.1061,1.3196,0.6921,0.7582,2.4227,1.0,0.2475,0.5446,0.4499,1.0,0.6242,0.9412,1.6415,0.1285,1.0,2.0915,3.8074
bs092,N,bs092_N_N_0.lm3,0.4261,1.4999,1.2261,1.6668,0.8122,1.1153,1.2525,0.8117,0.802,2.5655,1.0,0.3409,0.5589,0.435,1.0,0.5969,0.8536,2.3773,0.712,1.0,2.4433,3.7853
bs092,N,bs092_N_N_1.lm3,0.4751,1.5533,1.3039,1.7442,0.7869,1.1013,1.3245,0.8323,0.8611,2.661,1.0,0.3217,0.5276,0.49,1.0,0.6376,0.8023,1.6844,0.6623,1.0,0.7365,3.7792
bs092,N,bs092_N_N_2.lm3,0.4591,1.5848,1.41,1.9084,0.8871,1.0801,1.294,0.9521,0.8956,2.7709,1.0,0.5489,0.4233,0.4408,1.0,0.6817,0.7197,1.3849,1.2895,1.0,0.113,3.8144
bs092,N,bs092_N_N_3.lm3,0.5092,1.6477,1.3246,1.7886,0.8608,1.1314,1.3748,0.862,0.9158,2.7617,1.0,0.2157,0.4802,0.4755,1.0,0.6715,0.691,1.8153,0.3781,1.0,0.3237,3.5339
bs093,N,bs093_N_N_0.lm3,0.6254,1.6945,1.5424,2.27,1.0408,1.1343,1.6199,1.0583,0.9653,2.9896,1.0,0.3683,0.5119,0.6761,1.0,0.7534,0.9487,1.1941,0.8127,1.0,1.07,4.2584
bs093,N,bs093_N_N_1.lm3,0.5743,1.7649,1.6001,2.3219,1.0568,1.1819,1.7478,1.1,1.0437,3.1175,1.0,0.3111,0.5345,0.7427,1.0,0.7796,0.9739,1.422,0.8229,1.0,0.9911,4.3418
bs093,N,bs093_N_N_2.lm3,0.591,1.6444,1.4275,2.2287,1.1098,1.106,1.7303,1.0365,0.9717,2.9833,1.0,0.2942,0.4981,0.7826,1.0,0.8126,0.7876,1.3694,0.6384,1.0,0.291,4.1751
bs093,N,bs093_N_N_3.lm3,0.5983,1.7344,1.5514,2.3741,1.1494,1.1366,1.8247,1.106,1.0805,3.1365,1.0,0.453,0.4658,0.7772,1.0,0.7883,0.8335,1.2881,0.9978,1.0,0.0871,4.3178
bs094,N,bs094_N_N_0.lm3,0.5364,1.5083,1.3019,1.8751,0.9512,0.9259,1.2279,0.8177,0.7841,2.5256,1.0,0.4776,0.3319,0.3881,1.0,0.5555,0.6268,0.8147,0.8294,1.0,0.1821,3.3799
bs094,N,bs094_N_N_1.lm3,0.6319,1.4907,1.2809,1.9206,0.9973,0.9263,1.2491,0.7806,0.8183,2.517,1.0,0.4435,0.3431,0.3999,1.0,0.579,0.6539,0.7312,0.5816,1.0,0.02,3.4194
bs094,N,bs094_N_N_2.lm3,0.587,1.5168,1.3456,1.94,0.9647,0.9482,1.2562,0.826,0.7939,2.5369,1.0,0.4869,0.3943,0.4093,1.0,0.6221,0.7158,0.7943,0.817,1.0,0.2324,3.6284
bs094,N,bs094_N_N_3.lm3,0.5628,1.53,1.3432,1.9216,0.9682,1.0581,1.2561,0.8127,0.7999,2.5642,1.0,0.3932,0.4829,0.3934,1.0,0.5968,0.9105,1.1023,0.4323,1.0,1.6509,3.7768
bs095,N,bs095_N_N_0.lm3,0.3691,1.2413,1.1515,2.0108,1.1142,1.1383,1.4528,0.8258,0.8091,2.6298,1.0,0.1179,0.6795,0.622,1.0,0.8249,0.924,2.3773,0.1046,1.0,0.4333,4.1683
bs095,N,bs095_N_N_1.lm3,0.3882,1.2431,1.1893,2.0135,1.0589,1.138,1.3742,0.7864,0.7901,2.5651,1.0,0.2322,0.6667,0.5834,1.0,0.7811,1.008,2.042,0.227,1.0,1.3204,4.2714
bs095,N,bs095_N_N_2.lm3,0.4363,1.3132,1.1953,2.0106,1.0674,1.1652,1.5352,0.8165,0.8181,2.6241,1.0,0.071,0.6146,0.6948,1.0,0.7406,0.9493,1.8386,0.0154,1.0,1.3346,4.0703
bs095,N,bs095_N_N_3.lm3,0.4138,1.2293,1.1501,1.9897,1.0877,1.1255,1.4417,0.7748,0.7901,2.5518,1.0,0.2133,0.5961,0.647,1.0,0.845,0.7783,1.7722,0.216,1.0,0.4414,4.0797
bs096,N,bs096_N_N_0.lm3,0.405,1.4707,1.3717,1.9505,1.0339,0.9294,1.3322,0.8843,0.8461,2.6638,1.0,0.5168,0.4783,0.4967,1.0,0.7168,0.9102,1.6687,0.93,1.0,1.2082,4.1188
bs096,N,bs096_N_N_1.lm3,0.4538,1.4837,1.3721,1.9686,1.0086,0.9918,1.2244,0.8982,0.8191,2.6726,1.0,0.419,0.5035,0.4512,1.0,0.6959,0.9578,1.5075,0.5792,1.0,1.4727,4.0274
bs096,N,bs096_N_N_2.lm3,0.4145,1.4788,1.3524,1.9354,1.0201,0.8811,1.243,0.8747,0.8297,2.6455,1.0,0.45,0.4178,0.4286,1.0,0.6987,0.7943,1.4585,0.838,1.0,0.3094,3.7894
bs096,N,bs096_N_N_3.lm3,0.4798,1.513,1.4512,2.0604,1.0269,0.9553,1.269,0.8817,0.8838,2.6932,1.0,0.4854,0.5125,0.4675,1.0,0.7788,1.0225,1.4429,0.5504,1.0,1.2752,4.2667
bs097,N,bs097_N_N_0.lm3,0.5432,1.5043,1.3217,2.2128,1.1514,1.0972,1.4549,0.7728,0.7585,2.5114,1.0,0.2398,0.6439,0.6267,1.0,0.7951,1.0682,1.8962,0.5547,1.0,1.2011,4.3737
bs097,N,bs097_N_N_1.lm3,0.4693,1.5031,1.3586,2.2683,1.2481,1.0849,1.5315,0.9031,0.8273,2.7206,1.0,0.2033,0.611,0.579,1.0,0.8385,0.9712,2.0073,0.4507,1.0,0.5872,4.203
bs097,N,bs097_N_N_2.lm3,0.4605,1.5157,1.3888,2.1952,1.0797,1.1045,1.5643,0.8196,0.7775,2.5511,1.0,0.3923,0.6531,0.7421,1.0,0.835,1.0403,2.0306,1.0055,1.0,1.1401,4.6628
bs097,N,bs097_N_N_3.lm3,0.5779,1.6472,1.4464,2.3519,1.2402,1.1902,1.5952,0.8429,0.8641,2.6831,1.0,0.1835,0.6459,0.5719,1.0,0.8007,1.101,1.8493,0.4901,1.0,1.4666,4.303
bs098,N,bs098_N_N_0.lm3,0.5071,1.6183,1.5079,2.2209,1.0702,1.3183,2.2056,1.0457,1.1031,3.1303,1.0,0.2551,0.6725,1.1549,1.0,0.9154,1.0095,1.8602,0.3408,1.0,0.2322,5.0074
bs098,N,bs098_N_N_1.lm3,0.5697,1.6737,1.6071,2.338,1.0374,1.309,1.9021,0.976,1.0585,3.0311,1.0,0.0819,0.5205,0.8219,1.0,0.8967,0.8582,1.2082,0.2199,1.0,0.949,4.1792
bs098,N,bs098_N_N_2.lm3,0.5199,1.6244,1.4291,2.1341,1.0295,1.2183,1.7974,0.9341,0.964,2.8938,1.0,0.0815,0.5388,0.7346,1.0,0.75,0.8819,1.5671,0.2193,1.0,0.5987,3.9868
bs098,N,bs098_N_N_3.lm3,0.5046,1.6364,1.5091,2.2212,1.0515,1.2713,1.9745,1.0276,1.061,3.0861,1.0,0.1084,0.585,0.8692,1.0,0.8523,0.9324,1.7161,0.0482,1.0,0.152,4.3473
bs099,N,bs099_N_N_0.lm3,0.5163,1.4591,1.1915,1.9122,1.058,1.2516,1.553,0.8759,0.8424,2.7071,1.0,0.1953,0.7573,0.6449,1.0,0.7832,0.9357,2.2839,0.1981,1.0,1.099,4.3164
bs099,N,bs099_N_N_1.lm3,0.4602,1.4665,1.2555,1.8832,0.973,1.164,1.5582,0.8291,0.8339,2.6447,1.0,0.275,0.5137,0.6259,1.0,0.7721,0.6927,1.6569,0.314,1.0,0.8338,3.8794
bs099,N,bs099_N_N_2.lm3,0.5792,1.5086,1.25,1.9361,1.0324,1.129,1.6041,0.8001,0.8525,2.6459,1.0,0.1583,0.5117,0.6188,1.0,0.7227,0.7405,1.346,0.0514,1.0,0.0281,3.752
bs099,N,bs099_N_N_3.lm3,0.485,1.5299,1.3233,1.9908,1.0151,1.2018,1.6429,0.8608,0.865,2.7179,1.0,0.1258,0.6121,0.7006,1.0,0.7938,0.8785,1.8821,0.1623,1.0,0.0143,4.1108
bs100,N,bs100_N_N_0.lm3,0.35,1.3449,1.2637,1.8399,0.9469,1.0692,1.3769,0.8754,0.8051,2.6276,1.0,0.5028,0.6055,0.5877,1.0,0.7677,0.9455,2.442,1.1247,1.0,2.2599,4.4092
bs100,N,bs100_N_N_1.lm3,0.348,1.3326,1.266,1.827,0.8985,1.0653,1.3374,0.8527,0.8174,2.6213,1.0,0.4692,0.5768,0.588,1.0,0.7237,0.9693,2.2674,0.8172,1.0,2.4429,4.327
bs100,N,bs100_N_N_2.lm3,0.3168,1.4014,1.3351,1.8393,0.8742,1.0444,1.3712,0.8812,0.8502,2.6852,1.0,0.4484,0.5365,0.6086,1.0,0.708,0.9723,2.469,0.9141,1.0,2.8111,4.2738
bs100,N,bs100_N_N_3.lm3,0.4076,1.3723,1.3389,1.9149,0.9079,1.1016,1.3971,0.8841,0.8294,2.6672,1.0,0.4737,0.6554,0.6339,1.0,0.8511,1.0515,2.0949,0.6269,1.0,1.8903,4.6656
