identity,expression,filename,dist_enL_seL,dist_enL_prn,dist_seL_prn,dist_seL_ls,dist_prn_ls,dist_alL_alR,dist_chL_chR,dist_enL_exL,dist_enR_exR,dist_exL_exR,dist_enL_enR,dist_gn_prn,dist_gn_sto,dist_seL_seR,dist_ls_sto,area_enL_exL_exR,area_prn_alL_alR,area_chL_chR_ls,area_enL_enR_prn,area_ls_sto_sl,area_seL_prn_alL,area_seR_prn_alR,volume_enL_prn_alL_alR,volume_enL_exL_exR_prn,volume_chL_chR_ls_sto,volume_enL_enR_seL_prn,volume_exL_exR_alL_alR,facial_area
bs072,N,bs072_N_N_0.lm3,0.4961,1.3613,1.0895,1.7366,0.9561,1.1325,1.3445,0.9637,1.0781,2.9280,1.0000,2.2727,1.0922,0.3834,0.2878,0.5071,0.3811,0.3312,0.6404,0.0255,0.4647,0.4162,0.1179,0.1365,0.0123,0.0555,0.1099,6.6922
bs072,N,bs072_N_N_1.lm3,0.4819,1.4987,1.2076,1.7515,0.9000,1.0406,1.5237,0.9744,1.0154,2.9361,1.0000,2.3907,1.2346,0.3872,0.3198,0.3268,0.2834,0.4303,0.6957,0.0196,0.4311,0.3700,0.1031,0.1181,0.0254,0.0649,0.0109,7.1275
bs072,N,bs072_N_N_2.lm3,0.4289,1.4421,1.1101,1.5913,0.8193,0.9402,1.2677,0.8496,0.9206,2.6983,1.0000,2.1714,1.1328,0.5171,0.2796,0.2406,0.2093,0.3029,0.6415,0.0278,0.3398,0.2996,0.0677,0.0685,0.0088,0.0339,0.0531,5.8233
bs072,N,bs072_N_N_3.lm3,0.3946,1.3965,1.1652,1.6782,0.8670,1.0792,1.4165,0.9101,0.9190,2.7711,1.0000,2.1930,1.0615,0.4111,0.3118,0.3166,0.3899,0.3826,0.6463,0.0200,0.4332,0.4505,0.1276,0.0715,0.0167,0.0452,0.0727,6.4921
bs073,N,bs073_N_N_0.lm3,0.3727,1.6709,1.4108,2.0985,0.9490,1.2554,1.6155,1.1604,1.2740,3.3408,1.0000,2.6052,1.3899,0.5190,0.2920,0.5482,0.3068,0.4803,0.8224,0.0262,0.5018,0.4973,0.1305,0.1599,0.0326,0.0573,0.1401,8.4505
bs073,N,bs073_N_N_1.lm3,0.5509,1.8920,1.5212,2.2553,1.0296,1.4648,1.8135,1.1121,1.1865,3.2863,1.0000,2.7056,1.4322,0.4769,0.2836,0.1150,0.5218,0.5561,0.9308,0.0124,0.5933,0.7291,0.2223,0.0536,0.0474,0.1004,0.1902,9.2740
bs073,N,bs073_N_N_2.lm3,0.3950,1.8986,1.6493,2.4082,1.0691,1.4425,1.9544,1.2021,1.4013,3.5368,1.0000,2.7520,1.4693,0.5748,0.2505,0.4403,0.5346,0.6278,0.9185,0.0285,0.6798,0.8111,0.2553,0.1703,0.0357,0.0739,0.1292,10.0160
bs073,N,bs073_N_N_3.lm3,0.5121,1.8818,1.5599,2.3139,1.0238,1.4115,1.8579,1.1701,1.3423,3.4583,1.0000,2.7592,1.4622,0.4953,0.2950,0.3845,0.4300,0.6288,0.9075,0.0254,0.6986,0.6393,0.2073,0.1507,0.0450,0.0965,0.1561,9.9570
bs074,N,bs074_N_N_0.lm3,0.3594,1.6156,1.4135,1.8836,0.8609,1.1032,1.7437,0.9243,1.0264,2.8830,1.0000,2.0874,1.0142,0.5067,0.2548,0.2573,0.3319,0.5295,0.7280,0.0156,0.5319,0.5097,0.1388,0.0712,0.0274,0.0439,0.0245,7.0632
bs074,N,bs074_N_N_1.lm3,0.3230,1.4909,1.3215,1.8088,0.8632,1.1343,1.7868,0.9118,0.9223,2.7800,1.0000,2.0321,0.9382,0.4430,0.2682,0.2873,0.4298,0.5388,0.7017,0.0136,0.5474,0.5152,0.1549,0.0392,0.0264,0.0366,0.0264,6.8927
bs074,N,bs074_N_N_2.lm3,0.2808,1.5101,1.3494,1.7797,0.8140,1.1426,1.6467,0.8571,0.8592,2.6866,1.0000,2.0934,1.0534,0.4467,0.2493,0.2425,0.4059,0.4662,0.7267,0.0060,0.5072,0.5837,0.1639,0.0357,0.0292,0.0327,0.1284,6.3876
bs074,N,bs074_N_N_3.lm3,0.3062,1.4300,1.2969,1.8148,0.8934,1.0399,1.6417,0.8808,0.9381,2.7519,1.0000,2.1063,1.0069,0.5498,0.2435,0.3347,0.2595,0.4932,0.6770,0.0178,0.4554,0.4160,0.1018,0.0524,0.0211,0.0365,0.0574,6.6076
bs075,N,bs075_N_N_0.lm3,0.5472,1.8740,1.5078,2.1582,1.1943,1.2362,1.7201,0.9063,0.9275,2.8207,1.0000,2.7448,1.3286,0.4358,0.2542,0.1388,0.7441,0.5258,0.8994,0.0050,0.8483,0.8509,0.3008,0.0196,0.0302,0.0860,0.0151,8.0796
bs075,N,bs075_N_N_1.lm3,0.4693,1.8504,1.5558,2.2203,1.1531,1.2220,1.6023,0.9791,0.9490,2.8776,1.0000,2.5556,1.1788,0.4591,0.2754,0.3426,0.7416,0.5093,0.8988,0.0098,0.8649,0.9340,0.3273,0.1277,0.0217,0.0790,0.0446,7.5905
bs075,N,bs075_N_N_2.lm3,0.3254,1.7297,1.4994,2.0169,1.1213,1.1874,1.6211,0.9347,0.8717,2.7699,1.0000,2.5563,1.2652,0.5326,0.2084,0.2728,0.5034,0.4654,0.8485,0.0045,0.4903,0.7637,0.1851,0.0319,0.0242,0.0344,0.2764,7.3497
bs075,N,bs075_N_N_3.lm3,0.7050,1.9873,1.4706,2.3505,1.4147,1.1995,1.7364,1.0674,1.2815,3.3048,1.0000,2.9750,1.3010,0.4680,0.3416,0.3516,0.5084,0.5142,0.9741,0.0153,0.6937,0.7212,0.2459,0.0138,0.0260,0.1106,0.0752,9.7596
bs076,N,bs076_N_N_0.lm3,0.5221,1.6861,1.4618,1.8537,0.6780,1.1210,1.3629,0.7563,0.8386,2.5623,1.0000,1.8983,1.0805,0.4349,0.2259,0.1684,0.3423,0.3061,0.7951,0.0136,0.4721,0.5576,0.1089,0.0177,0.0131,0.0901,0.0778,5.6384
bs076,N,bs076_N_N_1.lm3,0.4453,1.7318,1.4702,1.9470,0.8158,1.1337,1.3929,0.8417,1.0063,2.7805,1.0000,2.1312,1.1670,0.4786,0.2791,0.2518,0.3176,0.3069,0.8199,0.0319,0.3825,0.5869,0.1038,0.1095,0.0109,0.0635,0.1551,6.2471
bs076,N,bs076_N_N_2.lm3,0.4302,1.5786,1.3931,1.7674,0.3945,1.0101,1.3785,0.7833,0.7965,2.5337,1.0000,1.6987,1.0585,0.4365,0.2991,0.2005,0.1427,0.3344,0.7405,0.0258,0.3114,0.3239,0.0153,0.0791,0.0143,0.0657,0.0134,5.6194
bs076,N,bs076_N_N_3.lm3,0.4297,1.6664,1.4662,1.8554,0.6838,1.1089,1.4400,0.8467,0.8862,2.6456,1.0000,1.9708,1.1130,0.4910,0.2841,0.3464,0.3479,0.3370,0.7914,0.0243,0.4561,0.5575,0.1159,0.1298,0.0130,0.0663,0.1294,6.0576
bs077,N,bs077_N_N_0.lm3,0.5684,1.8161,1.3935,1.9686,1.1360,1.0312,1.4703,0.9934,1.0663,3.0173,1.0000,2.3766,1.1568,0.4435,0.2433,0.3120,0.3888,0.3471,0.8738,0.0170,0.5149,0.6221,0.1631,0.0734,0.0114,0.0761,0.0851,7.4810
bs077,N,bs077_N_N_1.lm3,0.4020,1.9250,1.7035,2.2230,1.1456,1.1358,1.6136,1.0298,1.1626,3.1162,1.0000,2.6562,1.3803,0.5479,0.2749,0.3442,0.4428,0.4193,0.8935,0.0300,0.5751,0.8492,0.2023,0.0727,0.0092,0.0719,0.3029,8.5517
bs077,N,bs077_N_N_2.lm3,0.5435,1.8604,1.4618,2.0206,1.1345,1.1164,1.4557,0.9939,1.0804,3.0075,1.0000,2.6416,1.3698,0.4522,0.2604,0.3579,0.4733,0.3953,0.8793,0.0223,0.5687,0.7325,0.2066,0.0826,0.0113,0.0738,0.1811,7.8088
bs077,N,bs077_N_N_3.lm3,0.4689,1.8100,1.4775,2.0204,1.1541,1.1537,1.4842,1.0370,1.0050,3.0054,1.0000,2.5201,1.2576,0.4358,0.2795,0.3136,0.4481,0.3672,0.8591,0.0325,0.5236,0.7709,0.2093,0.1004,0.0069,0.0586,0.4267,7.5220
bs078,N,bs078_N_N_0.lm3,0.5714,2.0226,1.6275,2.3246,1.1880,1.4015,1.8104,1.1025,1.1980,3.2019,1.0000,2.5594,1.1845,0.4984,0.2234,0.4749,0.6210,0.5041,0.9693,0.0152,0.6789,0.9260,0.2840,0.1585,0.0229,0.1068,0.2772,9.1668
bs078,N,bs078_N_N_1.lm3,0.4509,1.8756,1.5999,2.2069,1.0989,1.2468,1.7116,1.1695,1.0415,3.1026,1.0000,2.5444,1.2314,0.4832,0.2290,0.5450,0.5218,0.4811,0.8934,0.0032,0.6430,0.8168,0.2398,0.1935,0.0284,0.0847,0.2723,7.8368
bs078,N,bs078_N_N_2.lm3,0.5970,2.0111,1.6477,2.3060,1.1501,1.2873,1.8650,1.1988,1.2135,3.2913,1.0000,2.7224,1.3778,0.4373,0.2146,0.5857,0.6152,0.6309,0.9441,0.0102,0.8362,0.8175,0.2792,0.2011,0.0418,0.1121,0.0017,9.7431
bs078,N,bs078_N_N_3.lm3,0.5842,2.0291,1.7415,2.4484,1.1607,1.3102,1.8778,1.0983,1.2046,3.2447,1.0000,2.5694,1.2086,0.4956,0.2375,0.3258,0.6365,0.6012,0.9603,0.0112,0.9731,0.8604,0.3079,0.0768,0.0297,0.1344,0.2357,9.9526
bs079,N,bs079_N_N_0.lm3,0.3902,1.8116,1.5967,2.1996,1.0151,1.3384,1.7958,0.9866,0.9863,2.9689,1.0000,2.5359,1.3911,0.5115,0.2115,0.1052,0.3991,0.5055,0.8821,0.0109,0.6180,0.5862,0.1485,0.0546,0.0326,0.0686,0.1089,8.1547
bs079,N,bs079_N_N_1.lm3,0.4188,1.8350,1.6399,2.4292,1.1992,1.4984,1.7708,1.0628,1.1142,3.1720,1.0000,2.6126,1.3071,0.5260,0.1691,0.0065,0.7302,0.5034,0.8634,0.0112,0.8044,0.8797,0.2954,0.0028,0.0242,0.0734,0.0528,8.9481
bs079,N,bs079_N_N_2.lm3,0.3716,1.6739,1.4670,2.1704,1.1065,1.3689,1.5618,0.9218,0.9793,2.8909,1.0000,2.5272,1.2531,0.4797,0.2037,0.1591,0.5341,0.4046,0.8081,0.0084,0.5741,0.7078,0.2029,0.0631,0.0270,0.0504,0.1649,7.4509
bs079,N,bs079_N_N_3.lm3,0.3749,1.8111,1.6717,2.4395,1.1922,1.4711,1.8087,1.0962,1.0961,3.1664,1.0000,2.9238,1.5343,0.5092,0.2466,0.2622,0.6357,0.5733,0.8673,0.0213,0.7113,0.8890,0.2643,0.1137,0.0355,0.0668,0.1882,9.7178
bs080,N,bs080_N_N_0 (1).lm3,0.4043,1.5977,1.3391,1.8222,0.8540,1.1228,1.4990,0.9621,1.0242,2.9321,1.0000,2.4554,1.3542,0.6174,0.3540,0.2786,0.4041,0.4253,0.7367,0.0342,0.6039,0.4871,0.1533,0.1289,0.0196,0.0595,0.1367,7.0161
bs080,N,bs080_N_N_0.lm3,0.4043,1.5977,1.3391,1.8222,0.8540,1.1228,1.4990,0.9621,1.0242,2.9321,1.0000,2.4554,1.3542,0.6174,0.3540,0.2786,0.4041,0.4253,0.7367,0.0342,0.6039,0.4871,0.1533,0.1289,0.0196,0.0595,0.1367,7.0161
bs080,N,bs080_N_N_1 (1).lm3,0.3757,1.5100,1.3502,1.8705,0.8253,1.0913,1.4600,0.9618,0.8536,2.7765,1.0000,2.3787,1.3716,0.5230,0.2707,0.3057,0.4671,0.4095,0.7251,0.0243,0.5472,0.5832,0.1456,0.1300,0.0146,0.0700,0.0383,6.6060
bs080,N,bs080_N_N_1.lm3,0.3757,1.5100,1.3502,1.8705,0.8253,1.0913,1.4600,0.9618,0.8536,2.7765,1.0000,2.3787,1.3716,0.5230,0.2707,0.3057,0.4671,0.4095,0.7251,0.0243,0.5472,0.5832,0.1456,0.1300,0.0146,0.0700,0.0383,6.6060
bs080,N,bs080_N_N_2 (1).lm3,0.4953,1.5751,1.3316,1.8437,0.7913,1.1855,1.5113,1.0408,0.9541,2.9685,1.0000,2.3406,1.3318,0.5155,0.3108,0.2521,0.4579,0.4302,0.7660,0.0272,0.5076,0.6821,0.1646,0.1049,0.0173,0.0922,0.2171,7.1613
bs080,N,bs080_N_N_2.lm3,0.4953,1.5751,1.3316,1.8437,0.7913,1.1855,1.5113,1.0408,0.9541,2.9685,1.0000,2.3406,1.3318,0.5155,0.3108,0.2521,0.4579,0.4302,0.7660,0.0272,0.5076,0.6821,0.1646,0.1049,0.0173,0.0922,0.2171,7.1613
bs080,N,bs080_N_N_3 (1).lm3,0.5124,1.6339,1.3449,1.8788,0.8426,1.1405,1.5114,0.9928,1.0257,2.9715,1.0000,2.5406,1.4473,0.5403,0.3320,0.2999,0.4850,0.4421,0.7723,0.0282,0.5687,0.6265,0.1753,0.1402,0.0176,0.0854,0.0688,7.3256
bs080,N,bs080_N_N_3.lm3,0.5124,1.6339,1.3449,1.8788,0.8426,1.1405,1.5114,0.9928,1.0257,2.9715,1.0000,2.5406,1.4473,0.5403,0.3320,0.2999,0.4850,0.4421,0.7723,0.0282,0.5687,0.6265,0.1753,0.1402,0.0176,0.0854,0.0688,7.3256
bs081,N,bs081_N_N_0 (1).lm3,0.5929,1.7716,1.3940,1.8227,0.8487,1.1168,1.4965,0.8029,0.8508,2.6225,1.0000,2.2615,1.2205,0.4634,0.2333,0.2202,0.3523,0.3742,0.8444,0.0177,0.4816,0.5257,0.1185,0.0829,0.0144,0.1046,0.0225,5.9514
bs081,N,bs081_N_N_0.lm3,0.5929,1.7716,1.3940,1.8227,0.8487,1.1168,1.4965,0.8029,0.8508,2.6225,1.0000,2.2615,1.2205,0.4634,0.2333,0.2202,0.3523,0.3742,0.8444,0.0177,0.4816,0.5257,0.1185,0.0829,0.0144,0.1046,0.0225,5.9514
bs081,N,bs081_N_N_1 (1).lm3,0.5265,1.7896,1.4987,1.9019,0.8077,1.1477,1.5897,0.8719,0.9465,2.7834,1.0000,2.3380,1.3288,0.5699,0.2171,0.2831,0.3811,0.4053,0.8759,0.0145,0.5634,0.5794,0.1417,0.0879,0.0166,0.1072,0.0092,6.5894
bs081,N,bs081_N_N_1.lm3,0.5265,1.7896,1.4987,1.9019,0.8077,1.1477,1.5897,0.8719,0.9465,2.7834,1.0000,2.3380,1.3288,0.5699,0.2171,0.2831,0.3811,0.4053,0.8759,0.0145,0.5634,0.5794,0.1417,0.0879,0.0166,0.1072,0.0092,6.5894
bs081,N,bs081_N_N_2 (1).lm3,0.6595,1.7853,1.3762,1.8696,0.8875,1.2084,1.5695,0.9057,0.9129,2.8056,1.0000,2.4031,1.3041,0.4570,0.2316,0.1592,0.4738,0.4167,0.8685,0.0128,0.5743,0.6445,0.1812,0.0500,0.0188,0.1203,0.0136,6.6105
bs081,N,bs081_N_N_2.lm3,0.6595,1.7853,1.3762,1.8696,0.8875,1.2084,1.5695,0.9057,0.9129,2.8056,1.0000,2.4031,1.3041,0.4570,0.2316,0.1592,0.4738,0.4167,0.8685,0.0128,0.5743,0.6445,0.1812,0.0500,0.0188,0.1203,0.0136,6.6105
bs081,N,bs081_N_N_3 (1).lm3,0.5533,1.8696,1.5430,1.9760,0.8983,1.1876,1.6083,0.9252,0.9567,2.8442,1.0000,2.3321,1.2338,0.4938,0.2350,0.2864,0.4654,0.4390,0.8950,0.0108,0.6414,0.6913,0.2037,0.1027,0.0225,0.1097,0.0874,6.9631
bs081,N,bs081_N_N_3.lm3,0.5533,1.8696,1.5430,1.9760,0.8983,1.1876,1.6083,0.9252,0.9567,2.8442,1.0000,2.3321,1.2338,0.4938,0.2350,0.2864,0.4654,0.4390,0.8950,0.0108,0.6414,0.6913,0.2037,0.1027,0.0225,0.1097,0.0874,6.9631
bs082,N,bs082_N_N_0 (1).lm3,0.3805,1.6101,1.3964,1.9281,0.9917,1.1380,1.6827,1.0001,1.0155,2.9520,1.0000,2.5113,1.3101,0.5435,0.2715,0.3688,0.4332,0.5250,0.7836,0.0107,0.5129,0.6333,0.1697,0.1220,0.0321,0.0693,0.0975,7.5114
bs082,N,bs082_N_N_0.lm3,0.3805,1.6101,1.3964,1.9281,0.9917,1.1380,1.6827,1.0001,1.0155,2.9520,1.0000,2.5113,1.3101,0.5435,0.2715,0.3688,0.4332,0.5250,0.7836,0.0107,0.5129,0.6333,0.1697,0.1220,0.0321,0.0693,0.0975,7.5114
bs082,N,bs082_N_N_1 (1).lm3,0.4637,1.6215,1.3216,1.8944,0.9613,1.0724,1.6488,1.0119,1.1033,3.0287,1.0000,2.5354,1.3292,0.4870,0.3078,0.4038,0.4146,0.5562,0.7661,0.0217,0.5518,0.5964,0.1788,0.1562,0.0263,0.0732,0.0172,7.6439
bs082,N,bs082_N_N_1.lm3,0.4637,1.6215,1.3216,1.8944,0.9613,1.0724,1.6488,1.0119,1.1033,3.0287,1.0000,2.5354,1.3292,0.4870,0.3078,0.4038,0.4146,0.5562,0.7661,0.0217,0.5518,0.5964,0.1788,0.1562,0.0263,0.0732,0.0172,7.6439
bs082,N,bs082_N_N_2 (1).lm3,0.3933,1.6674,1.4604,2.0322,0.9668,1.1991,1.7430,1.0299,1.1166,3.0801,1.0000,2.5256,1.3231,0.5507,0.2919,0.3753,0.4763,0.5958,0.8073,0.0226,0.5602,0.7395,0.2003,0.1487,0.0297,0.0757,0.1304,8.0142
bs082,N,bs082_N_N_2.lm3,0.3933,1.6674,1.4604,2.0322,0.9668,1.1991,1.7430,1.0299,1.1166,3.0801,1.0000,2.5256,1.3231,0.5507,0.2919,0.3753,0.4763,0.5958,0.8073,0.0226,0.5602,0.7395,0.2003,0.1487,0.0297,0.0757,0.1304,8.0142
bs082,N,bs082_N_N_3 (1).lm3,0.4058,1.6056,1.3712,1.9833,1.0245,1.1023,1.6193,1.0964,1.0801,3.0945,1.0000,2.7410,1.4619,0.5210,0.3033,0.4859,0.4153,0.5354,0.7842,0.0215,0.5274,0.6280,0.1735,0.1523,0.0227,0.0736,0.1075,8.1632
bs082,N,bs082_N_N_3.lm3,0.4058,1.6056,1.3712,1.9833,1.0245,1.1023,1.6193,1.0964,1.0801,3.0945,1.0000,2.7410,1.4619,0.5210,0.3033,0.4859,0.4153,0.5354,0.7842,0.0215,0.5274,0.6280,0.1735,0.1523,0.0227,0.0736,0.1075,8.1632
bs083,N,bs083_N_N_0 (1).lm3,0.4056,1.5921,1.4823,1.8981,0.9418,0.9717,1.4213,0.8874,0.9645,2.7942,1.0000,2.2780,1.1744,0.4888,0.2408,0.3275,0.3710,0.3604,0.7638,0.0128,0.5544,0.6069,0.1412,0.0487,0.0194,0.0740,0.0520,6.8699
bs083,N,bs083_N_N_0.lm3,0.4056,1.5921,1.4823,1.8981,0.9418,0.9717,1.4213,0.8874,0.9645,2.7942,1.0000,2.2780,1.1744,0.4888,0.2408,0.3275,0.3710,0.3604,0.7638,0.0128,0.5544,0.6069,0.1412,0.0487,0.0194,0.0740,0.0520,6.8699
bs083,N,bs083_N_N_1 (1).lm3,0.3922,1.5793,1.4818,1.9197,0.9825,0.9892,1.4929,0.9144,0.9767,2.8412,1.0000,2.4192,1.2630,0.4984,0.2689,0.2929,0.3682,0.3590,0.7577,0.0342,0.5700,0.5589,0.1369,0.0227,0.0135,0.0706,0.0193,7.2075
bs083,N,bs083_N_N_1.lm3,0.3922,1.5793,1.4818,1.9197,0.9825,0.9892,1.4929,0.9144,0.9767,2.8412,1.0000,2.4192,1.2630,0.4984,0.2689,0.2929,0.3682,0.3590,0.7577,0.0342,0.5700,0.5589,0.1369,0.0227,0.0135,0.0706,0.0193,7.2075
bs083,N,bs083_N_N_2 (1).lm3,0.3335,1.5766,1.4864,1.9032,0.9994,1.0161,1.4931,0.9577,1.0792,2.9329,1.0000,2.5288,1.3366,0.4868,0.2564,0.4578,0.3866,0.3453,0.7565,0.0055,0.5916,0.5587,0.1475,0.0793,0.0239,0.0480,0.0546,7.5046
bs083,N,bs083_N_N_2.lm3,0.3335,1.5766,1.4864,1.9032,0.9994,1.0161,1.4931,0.9577,1.0792,2.9329,1.0000,2.5288,1.3366,0.4868,0.2564,0.4578,0.3866,0.3453,0.7565,0.0055,0.5916,0.5587,0.1475,0.0793,0.0239,0.0480,0.0546,7.5046
bs083,N,bs083_N_N_3 (1).lm3,0.4315,1.6280,1.4499,1.9036,1.0087,0.9913,1.4481,0.9575,1.0036,2.8749,1.0000,2.4385,1.3581,0.4554,0.2502,0.3598,0.3808,0.3098,0.7704,0.0443,0.5707,0.5776,0.1491,0.0271,0.0257,0.0696,0.0096,7.4300
bs083,N,bs083_N_N_3.lm3,0.4315,1.6280,1.4499,1.9036,1.0087,0.9913,1.4481,0.9575,1.0036,2.8749,1.0000,2.4385,1.3581,0.4554,0.2502,0.3598,0.3808,0.3098,0.7704,0.0443,0.5707,0.5776,0.1491,0.0271,0.0257,0.0696,0.0096,7.4300
bs084,N,bs084_N_N_0 (1).lm3,0.3425,1.3852,1.2043,1.8007,0.9647,1.0345,1.4889,0.8762,0.8727,2.6874,1.0000,2.3589,1.1439,0.5048,0.2675,0.2975,0.3034,0.4256,0.6337,0.0188,0.4653,0.4382,0.1150,0.0400,0.0198,0.0395,0.0264,6.5162
bs084,N,bs084_N_N_0.lm3,0.3425,1.3852,1.2043,1.8007,0.9647,1.0345,1.4889,0.8762,0.8727,2.6874,1.0000,2.3589,1.1439,0.5048,0.2675,0.2975,0.3034,0.4256,0.6337,0.0188,0.4653,0.4382,0.1150,0.0400,0.0198,0.0395,0.0264,6.5162
bs084,N,bs084_N_N_1 (1).lm3,0.3018,1.3799,1.2417,1.8139,0.9200,1.0863,1.3681,0.9198,0.8951,2.7650,1.0000,2.3004,1.1136,0.5159,0.2748,0.3187,0.3857,0.3478,0.6444,0.0162,0.4558,0.5537,0.1476,0.0490,0.0166,0.0366,0.1738,6.3118
bs084,N,bs084_N_N_1.lm3,0.3018,1.3799,1.2417,1.8139,0.9200,1.0863,1.3681,0.9198,0.8951,2.7650,1.0000,2.3004,1.1136,0.5159,0.2748,0.3187,0.3857,0.3478,0.6444,0.0162,0.4558,0.5537,0.1476,0.0490,0.0166,0.0366,0.1738,6.3118
bs084,N,bs084_N_N_2 (1).lm3,0.3761,1.3344,1.1355,1.7563,0.9858,1.0836,1.3406,0.8435,0.8340,2.6384,1.0000,2.3784,1.1796,0.4504,0.2170,0.2440,0.3655,0.3164,0.6087,0.0081,0.3949,0.5100,0.1257,0.0258,0.0173,0.0403,0.1580,5.6859
bs084,N,bs084_N_N_2.lm3,0.3761,1.3344,1.1355,1.7563,0.9858,1.0836,1.3406,0.8435,0.8340,2.6384,1.0000,2.3784,1.1796,0.4504,0.2170,0.2440,0.3655,0.3164,0.6087,0.0081,0.3949,0.5100,0.1257,0.0258,0.0173,0.0403,0.1580,5.6859
bs084,N,bs084_N_N_3 (1).lm3,0.3419,1.4558,1.3457,1.8501,0.7916,1.0384,1.3739,0.9159,0.9153,2.7604,1.0000,2.1323,1.0918,0.4664,0.2610,0.3321,0.3335,0.3871,0.6622,0.0170,0.4447,0.5717,0.1269,0.0726,0.0166,0.0463,0.1978,6.4510
bs084,N,bs084_N_N_3.lm3,0.3419,1.4558,1.3457,1.8501,0.7916,1.0384,1.3739,0.9159,0.9153,2.7604,1.0000,2.1323,1.0918,0.4664,0.2610,0.3321,0.3335,0.3871,0.6622,0.0170,0.4447,0.5717,0.1269,0.0726,0.0166,0.0463,0.1978,6.4510
bs085,N,bs085_N_N_0 (1).lm3,0.6169,1.5497,1.1279,1.6254,0.8997,1.0405,1.4088,0.7178,0.7970,2.4743,1.0000,2.3242,1.2415,0.4458,0.2742,0.1532,0.3603,0.3440,0.6826,0.0394,0.4277,0.4668,0.1250,0.0118,0.0138,0.0761,0.0415,5.3744
bs085,N,bs085_N_N_0.lm3,0.6169,1.5497,1.1279,1.6254,0.8997,1.0405,1.4088,0.7178,0.7970,2.4743,1.0000,2.3242,1.2415,0.4458,0.2742,0.1532,0.3603,0.3440,0.6826,0.0394,0.4277,0.4668,0.1250,0.0118,0.0138,0.0761,0.0415,5.3744
bs085,N,bs085_N_N_1 (1).lm3,0.5707,1.5324,1.1827,1.6725,0.8836,1.0715,1.3879,0.7448,0.7528,2.4649,1.0000,2.3650,1.3123,0.3980,0.2367,0.2236,0.4129,0.4017,0.7203,0.0237,0.4491,0.5353,0.1393,0.0376,0.0312,0.0828,0.0931,5.3161
bs085,N,bs085_N_N_1.lm3,0.5707,1.5324,1.1827,1.6725,0.8836,1.0715,1.3879,0.7448,0.7528,2.4649,1.0000,2.3650,1.3123,0.3980,0.2367,0.2236,0.4129,0.4017,0.7203,0.0237,0.4491,0.5353,0.1393,0.0376,0.0312,0.0828,0.0931,5.3161
bs085,N,bs085_N_N_2 (1).lm3,0.5811,1.5166,1.1515,1.6040,0.8427,1.0845,1.4012,0.7129,0.7399,2.4341,1.0000,2.3348,1.3377,0.4710,0.2074,0.1379,0.3823,0.3644,0.6855,0.0207,0.4134,0.5079,0.1282,0.0092,0.0158,0.0763,0.1101,5.1867
bs085,N,bs085_N_N_2.lm3,0.5811,1.5166,1.1515,1.6040,0.8427,1.0845,1.4012,0.7129,0.7399,2.4341,1.0000,2.3348,1.3377,0.4710,0.2074,0.1379,0.3823,0.3644,0.6855,0.0207,0.4134,0.5079,0.1282,0.0092,0.0158,0.0763,0.1101,5.1867
bs085,N,bs085_N_N_3 (1).lm3,0.6272,1.4760,1.0741,1.5450,0.7986,0.9727,1.3944,0.6965,0.7438,2.4140,1.0000,2.2094,1.2161,0.3707,0.2517,0.1633,0.2860,0.3327,0.6683,0.0296,0.3810,0.3972,0.1005,0.0132,0.0144,0.0765,0.0208,5.0553
bs085,N,bs085_N_N_3.lm3,0.6272,1.4760,1.0741,1.5450,0.7986,0.9727,1.3944,0.6965,0.7438,2.4140,1.0000,2.2094,1.2161,0.3707,0.2517,0.1633,0.2860,0.3327,0.6683,0.0296,0.3810,0.3972,0.1005,0.0132,0.0144,0.0765,0.0208,5.0553
bs086,N,bs086_N_N_0 (1).lm3,0.4114,1.2824,1.0885,1.8003,0.9913,1.1162,1.5049,0.8168,0.8774,2.6751,1.0000,2.4674,1.3166,0.4106,0.2239,0.1781,0.3671,0.4019,0.5971,0.0282,0.4460,0.4406,0.1235,0.0273,0.0298,0.0494,0.0116,6.1340
bs086,N,bs086_N_N_0.lm3,0.4114,1.2824,1.0885,1.8003,0.9913,1.1162,1.5049,0.8168,0.8774,2.6751,1.0000,2.4674,1.3166,0.4106,0.2239,0.1781,0.3671,0.4019,0.5971,0.0282,0.4460,0.4406,0.1235,0.0273,0.0298,0.0494,0.0116,6.1340
bs086,N,bs086_N_N_1 (1).lm3,0.4333,1.3556,1.1438,1.8739,1.0006,1.1086,1.4892,0.8642,0.8941,2.7126,1.0000,2.4588,1.1724,0.4841,0.3181,0.1366,0.3454,0.4257,0.5751,0.0401,0.4333,0.4860,0.1311,0.0062,0.0175,0.0524,0.1186,6.3643
bs086,N,bs086_N_N_1.lm3,0.4333,1.3556,1.1438,1.8739,1.0006,1.1086,1.4892,0.8642,0.8941,2.7126,1.0000,2.4588,1.1724,0.4841,0.3181,0.1366,0.3454,0.4257,0.5751,0.0401,0.4333,0.4860,0.1311,0.0062,0.0175,0.0524,0.1186,6.3643
bs086,N,bs086_N_N_2 (1).lm3,0.3404,1.2895,1.2133,1.9042,1.0090,1.2104,1.6553,0.9372,0.9047,2.8044,1.0000,2.4652,1.1535,0.5658,0.3299,0.2764,0.4199,0.4778,0.5915,0.0440,0.5006,0.5400,0.1417,0.0359,0.0261,0.0491,0.0892,6.7534
